57	This step applies the <b>Brown's Double Exponential Smoothing</b> algorithm to denoise the input time series data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>A real data smoothing parameter between 0 and 1</li></ol>
58	This step applies the well-known <b>Fast Fourier Transform</b> algorithm to decompose a signal into its frequency components. The signal noise can be removed by suppressing the high frequency components.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>The cut-off frequency</li></ol>
56	This step applies the <b>Holt-Winters Double Exponential Smoothing</b> algorithm to denoise the input time series data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>A real data smoothing parameter between 0 and 1</li><li>A real trend smoothing parameter between 0 and 1</li></ol>
59	This step applies the <b>LOWESS</b> algorithm to denoise the input time series data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li></ol>
61		<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
45	The step applies the <b>Centered Moving Average</b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
46	The step applies the <b> Forward Moving Average </b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
51	The step applies the <b> Backward Moving Median </b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
50	The step applies the <b> Centered Moving Median </b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
52	The step applies the <b> Forward Moving Median </b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li></ol>
53	The step applies the <b> Percentile Filter </b> algorithm to denoise one-dimensional time series data. Note that the algorithm does not need the timestamp information to denoise the data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li><li>A specified percentile of a certain number of data points around the considered data point</li></ol>
60		<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li></ol>
54	This step applies the <b> Savitzky-Golay </b> algorithm (a moving polynomial fit) to denoise data.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li><li>The polynomial order</li></ol>
55	This step smooths noisy time series data by assigning exponentially decreasing weights over time to each individual value.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>A real data smoothing parameter between 0 and 1</li></ol>
48	This step denoises data similarly to the pre-processing step based on the <b> Backward Moving Average </b> algorithm, but additionally gives a weighting factor to each value within the filter width. Note that the applied algorithm doesn't need the timestamp information for the denoising procedure.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li><li>Weights for values in the filter width</li></ol>
47	This step denoises data similarly to the pre-processing step based on the <b> Centered Moving Average </b> algorithm, but additionally gives a weighting factor to each value within the filter width. Note that the applied algorithm doesn't need the timestamp information for the denoising procedure.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li><li>Weights for values in the filter width</li></ol>
49	This step denoises data similarly to the pre-processing step based on the <b> Forward Moving Average </b> algorithm, but additionally gives a weighting factor to each value within the filter width. Note that the applied algorithm doesn't need the timestamp information for the denoising procedure.	<ol><li>Denoised time series data</li></ol>	<ol><li>One-dimensional time series data</li><li>Filter width</li><li>Weights for values in the filter width</li></ol>
64	This step deletes all data tuples containing improper values. It is widely used in many statistical packages.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
76	This step applies the <b>C4.5</b> algorithm to reconstruct any improper values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
66	This step replaces any improper values in the data vector with the value immediately preceding it.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
74	This step first estimates the parameters of the linear model using the data. Then, the linear model with known parameters can reconstruct improper values at corresponding times.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
68	This step replaces any improper values in the data vector with the <b> Mean </b> of the neighbourhood values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Local window size</li></ol>
71	This step replaces any improper values in the data vector with the <b> Median </b> of the neighbourhood values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Local window size</li></ol>
72	This step replaces any improper values in the data vector with the <b> Midrange </b> of the neighbourhood values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Local window size</li></ol>
73	This step replaces any improper values in the data vector with the <b> Mode </b> of the neighbourhood values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values </li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Local window size</li></ol>
75	This step first estimates the parameters of the polynomial model using the data. Then, the polynomial model with known parameters can reconstruct improper values at corresponding times.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
69	This step replaces any improper values in the data vector with the <b> Trimmed Mean </b> of the neighbourhood values and is resistant to outliers.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Percentage of high and low extremes to be trimmed</li><li>Local window size</li></ol>
67	This step uses the reference data to reconstruct improper values. An improper value $$Y_i$$ at time step $$i$$ is estimated using the following formula: <p>$$\hat{Y}_i = \frac{Y_{i-1}}{Y^r_{i-1}} Y^r_i$$,</p> where $$\hat{Y}_i$$ is the reconstructed value at time step $$i$$ and $$Y^r_i$$ is the reference data value at time step $$i$$.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li></ol>
70	This step replaces any improper values in the data vector with the <b> Weighted Mean </b> of the neighbourhood values.	<ol><li>Output data excluding improper values</li></ol>	<ol><li>Input data including improper values</li><li>Definition of improper values ('nan', 'inf', or 'null', etc.)</li><li>Weights for all available values</li><li>Local window size</li></ol>
39	This step detects outliers in a data set by applying the <b>Box Plot</b> technique.	<ol><li>Original data with outliers marked</li></ol>	<ol><li>Input data including outliers</li></ol>
